rank	brandName	count	type
156	SORL	345	БРЕНД
157	Camozzi	345	СЕРАЯ_ЗОНА
158	LONGHO	343	СЕРАЯ_ЗОНА
159	POLCAR	341	БРЕНД
160	Metaco	337	СЕРАЯ_ЗОНА
161	Роснефть	336	БРЕНД
162	ТехАвтоСвет	331	СЕРАЯ_ЗОНА
163	DONALDSON	331	БРЕНД
164	ZF	330	БРЕНД
165	sampa	322	БРЕНД
166	СОАТЭ	322	СЕРАЯ_ЗОНА
167	FELIX	321	СЕРАЯ_ЗОНА
168	ASVA	316	СЕРАЯ_ЗОНА
169	ТехноПласт	315	СЕРАЯ_ЗОНА
170	BSG	313	СЕРАЯ_ЗОНА
171	Arirang	313	СЕРАЯ_ЗОНА
172	МАЯК	312	СЕРАЯ_ЗОНА
173	ROSTECO	304	СЕРАЯ_ЗОНА
174	Valeo	303	БРЕНД
175	DONGIL	300	СЕРАЯ_ЗОНА
176	SASIC	299	БРЕНД
177	FRENKIT	291	БРЕНД
178	MegaPower	291	СЕРАЯ_ЗОНА
179	SUBARU	290	МАРКА
180	OPTIMAL	287	БРЕНД
181	TECHNIK	286	СЕРАЯ_ЗОНА
182	Агрегат	285	ИСКЛЮЧИТЬ
183	Автопартнер	285	СЕРАЯ_ЗОНА
184	Cordiant	285	БРЕНД
185	GREEN FILTER	282	СЕРАЯ_ЗОНА
186	Трек	282	СЕРАЯ_ЗОНА
187	ВМТЗ	281	СЕРАЯ_ЗОНА
188	DIESEL TECHNIC	276	БРЕНД
189	RUVILLE	275	БРЕНД
190	SIDEM	273	БРЕНД
191	CONTITECH	272	БРЕНД
192	NOVLINE	271	СЕРАЯ_ЗОНА
193	Sirit	269	СЕРАЯ_ЗОНА
194	VOLVO	268	МАРКА
195	AT	266	СЕРАЯ_ЗОНА
196	ЧМЗ	265	СЕРАЯ_ЗОНА
197	MAPCO	264	БРЕНД
198	Технотрон	261	СЕРАЯ_ЗОНА
199	Урал	260	МАРКА
200	Сызрань	257	ИСКЛЮЧИТЬ
201	УМЗ	256	СЕРАЯ_ЗОНА
202	ATE	255	БРЕНД
203	DOMINANT	250	СЕРАЯ_ЗОНА
204	TORR	250	СЕРАЯ_ЗОНА
205	Nakayama	250	СЕРАЯ_ЗОНА
206	KR	248	СЕРАЯ_ЗОНА
207	Blitz	243	СЕРАЯ_ЗОНА
208	Fritex	243	СЕРАЯ_ЗОНА
209	BM	243	СЕРАЯ_ЗОНА
210	FRANCECAR	242	СЕРАЯ_ЗОНА
